1567500494510|38|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,name,industry_category,legal_representative,registered_address,business_license,business_scale,registered_capital,industry_category_code,waste_category,waste_name,waste_code,waste_production,waste_feature,depot_position,depot_num,environment_person,approved_mode,emergency_contact,gmt_create,gmt_modified,depot_list  FROM enterprise     WHERE name = ? LIMIT ?,?|SELECT  id,name,industry_category,legal_representative,registered_address,business_license,business_scale,registered_capital,industry_category_code,waste_category,waste_name,waste_code,waste_production,waste_feature,depot_position,depot_num,environment_person,approved_mode,emergency_contact,gmt_create,gmt_modified,depot_list  FROM enterprise     WHERE name = '富士康电子' LIMIT 0,10
1567500564139|103|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT COUNT(1) FROM enterprise WHERE name = ?|SELECT COUNT(1) FROM enterprise WHERE name = '富士康电子'
1567500564187|32|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,name,industry_category,legal_representative,registered_address,business_license,business_scale,registered_capital,industry_category_code,waste_category,waste_name,waste_code,waste_production,waste_feature,depot_position,depot_num,environment_person,approved_mode,emergency_contact,gmt_create,gmt_modified  FROM enterprise     WHERE name = ? LIMIT ?,?|SELECT  id,name,industry_category,legal_representative,registered_address,business_license,business_scale,registered_capital,industry_category_code,waste_category,waste_name,waste_code,waste_production,waste_feature,depot_position,depot_num,environment_person,approved_mode,emergency_contact,gmt_create,gmt_modified  FROM enterprise     WHERE name = '富士康电子' LIMIT 0,10
1567500565128|236|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,enterprise_name,depot_id,longitude,latitude,gmt_create,gmt_modified  FROM depot     WHERE enterprise_name = ?|SELECT  id,enterprise_name,depot_id,longitude,latitude,gmt_create,gmt_modified  FROM depot     WHERE enterprise_name = '富士康电子'
1567500565187|55|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,monitor_name,depot_id,waste_code,fan_status,governing_status,hydrogen_sulfide,ammonia,oxygen,gmt_create,gmt_modified  FROM monitor_system     WHERE depot_id = ?|SELECT  id,monitor_name,depot_id,waste_code,fan_status,governing_status,hydrogen_sulfide,ammonia,oxygen,gmt_create,gmt_modified  FROM monitor_system     WHERE depot_id = 'GFCK0001'
1567500565240|50|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,depot_id,name,feature,physical_state,packing,transfer_amount,waste_category,waste_code,gmt_create,gmt_modified  FROM hazardous_waste     WHERE depot_id = ?|SELECT  id,depot_id,name,feature,physical_state,packing,transfer_amount,waste_category,waste_code,gmt_create,gmt_modified  FROM hazardous_waste     WHERE depot_id = 'GFCK0001'
1567500565272|27|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,monitor_name,depot_id,waste_code,fan_status,governing_status,hydrogen_sulfide,ammonia,oxygen,gmt_create,gmt_modified  FROM monitor_system     WHERE depot_id = ?|SELECT  id,monitor_name,depot_id,waste_code,fan_status,governing_status,hydrogen_sulfide,ammonia,oxygen,gmt_create,gmt_modified  FROM monitor_system     WHERE depot_id = 'GFCK0002'
1567500565395|121|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,depot_id,name,feature,physical_state,packing,transfer_amount,waste_category,waste_code,gmt_create,gmt_modified  FROM hazardous_waste     WHERE depot_id = ?|SELECT  id,depot_id,name,feature,physical_state,packing,transfer_amount,waste_category,waste_code,gmt_create,gmt_modified  FROM hazardous_waste     WHERE depot_id = 'GFCK0002'
1567500785701|20|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT COUNT(1) FROM enterprise WHERE name = ?|SELECT COUNT(1) FROM enterprise WHERE name = '富士康电子'
1567500785771|62|statement|connection 0|url jdbc:p6spy:mysql://47.112.16.168:3306/solidwasteDB?serverTimezone=GMT%2B8&characterEncoding=utf8&useUnicode=true&useSSL=false|SELECT  id,name,industry_category,legal_representative,registered_address,business_license,business_scale,registered_capital,industry_category_code,waste_category,waste_name,waste_code,waste_production,waste_feature,depot_position,depot_num,environment_person,approved_mode,emergency_contact,gmt_create,gmt_modified  FROM enterprise     WHERE name = ? LIMIT ?,?|SELECT  id,name,industry_category,legal_representative,registered_address,business_license,business_scale,registered_capital,industry_category_code,waste_category,waste_name,waste_code,waste_production,waste_feature,depot_position,depot_num,environment_person,approved_mode,emergency_contact,gmt_create,gmt_modified  FROM enterprise     WHERE name = '富士康电子' LIMIT 0,10
